,Product
11989,CC(C)C(c1ccc(N)cc1)n1cncn1
11990,CN(C[C@H](CC1CCCCC1)NC(=O)c1cccc(Br)c1)C(=O)OCC[Si](C)(C)C
11991,Cc1cnc(N[C@H]2CC[C@@H](N)CC2)cc1N1CCOCC1
11992,Nc1ccc(Oc2nccnc2C2CCOCC2)cc1
11993,CC(C)(C)OC(=O)Nc1ccc(F)cc1F
11994,CNC(=O)c1cc(Oc2ccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)cc2)ccn1
11995,O=C(O)c1ccc(Nc2ncc(CNc3cc(C(=O)NC4CC4)c(F)cc3F)s2)nc1
11996,CC(=O)NC(C)C#Cc1cnc(Oc2ccc(OCC3CCCC3)cc2)s1
11997,CC1COc2c(N3Cc4cccc(Cl)c4C3)c(F)cc3c(=O)c(C(=O)O)cn1c23
11998,Cc1n[nH]c2cc(Nc3ncc4ccc(F)c(C)c4n3)ccc12
11999,N#Cc1cc(CCC2(O)CC[NH2+]CC2)ccc1F
12000,Cc1ccc(S(=O)(=O)c2ccc(F)cc2)cc1S(=O)(=O)NC1CCNCC1
12001,Cc1ccccc1CN1CCC(N2CCC(n3c(=O)[nH]c4ccccc43)CC2)CC1
12002,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=NCc1ccccc1)NC#N
12003,O=C(NCC(=O)N1CCN(C(=O)c2c(F)cccc2C(F)(F)F)CC1)c1ccc(-c2ccccc2)cc1
12004,O=C(O)c1cnc2c3c(ccc2c1)C(=O)C([N+](=O)[O-])C=N3
12005,CP(C)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NC34CC5CC(CC(C5)C3)C4)n2)cc1
12006,CCNC(=O)Cc1ccc(Oc2ccc(C(=O)NCC)cc2NS(=O)(=O)c2ccc(Cl)cc2Cl)c(OC)c1
12007,Cn1cnc(CNC(=O)c2nc3c(C(F)(F)F)cc(-c4ccco4)cn3c2Cl)c1
12008,[N-]=[N+]=NC1CCc2c(F)cccc2NC1=O
12009,COc1ccc(S(=O)(=O)N[C@@H]2CCCC[C@H]2C(=O)O)cc1
12010,CCCOCCn1c(=O)c(N2CCN(CC(=O)O)CC2)nc2cnc(-c3ccc(OC)nc3)cc21
12011,Nc1cc(Sc2nc[nH]n2)ccc1[N+](=O)[O-]
12012,COCCOCCS(=O)(=O)c1ccc2nc(NC(=O)NC(=O)c3ccccc3Cl)sc2c1
12013,C[C@]12C[C@H]3O[C@H]3C[C@@H]1CC[C@@H]1[C@@H]2C(=O)C[C@]2(C)[C@@H](C#N)CC[C@@H]12
12014,COc1ccc(N(C)CC2CCOCC2)cc1NC(=S)NC(=O)c1ccccc1
12015,CCNC(=O)N1CCC(c2cc(-c3ccc4sc(Cc5ccccc5)nc4c3)c3c(N)ncnn23)CC1
12016,C/C=C/C1=CN(C(=O)c2cc(OC)c(O[Si](C(C)C)(C(C)C)C(C)C)cc2[N+](=O)[O-])[C@H](CO[Si](C)(C)C(C)(C)C)C1
12017,COC(=O)c1ccnc(OCC(C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)c1
12018,CC(O)c1cnc(N2CCN(c3nc4ccc(C(F)(F)F)cc4[nH]3)CC2)c(Cl)c1
12019,CCN1CCC(O)(c2cc(Cl)cc(Cl)c2)C1
12020,CC(C)N1CCC[C@H](Cn2c(CN3CCC[C@H]4CCc5cccnc5[C@H]43)nc3ccccc32)C1
12021,CC1CN(c2nc(N3CCNCC3)nc3c(SCc4ccccc4)ncnc23)CCO1
12022,CON(c1ccc([N+](=O)[O-])cc1[N+](=O)[O-])S(=O)(=O)c1c(C)nn(C)c1Cl
12023,COc1cc(N=Cc2ccc(OC)nc2)cc(OCCO)c1
12024,Nc1c(Cl)nc(Cc2ccc(F)cc2)nc1-c1ccc2c(c1)OCO2
12025,O=c1[nH]cnc2[nH]c(-c3ccnc(/C=C/C4CCCCC4)c3)cc12
12026,CC(=O)Oc1cccc2c1CCCN2C(=O)OC(C)(C)C
12027,O=[N+]([O-])c1ccc2c(N3CCc4ccc(Cl)cc43)ncnc2c1
12028,COC(=O)NC(C(=O)O)=C1CCOCC1
12029,COc1cccn(-c2ccc([N+](=O)[O-])cc2C)c1=O
12030,O=C(O)CCCCCC(=O)Nc1cncc(Br)c1
12031,Fc1ccc(CCN2CCNCC2)c(F)c1
12032,O=C(c1ccc(Br)cc1)C1CCNCC1
12033,CCn1cc(C(=O)Nc2ccc(Oc3ccnc4ccc(OC)c(OC)c34)cc2)c(=O)n(-c2ccc(F)cc2)c1=O
12034,CC(C)(C)OC(=O)N1CCC(c2ocnc2C(=O)O)CC1
12035,NCc1ccc(Oc2ccc(F)cc2)s1
12036,COCCCOc1ccccc1-n1ccc2ccccc21
12037,Cc1ccc(CNC(=O)C23CCC(NCC(=O)N4C[C@@H](F)C[C@H]4C#N)(CC2)CC3)cc1
12038,CCOC(=O)C1CN(Cc2ccccc2)CCC1c1ccsc1
12039,COCCCC[C@@](O)(c1ccccc1Oc1cccc(F)c1)[C@@H]1CCCNC1
12040,N#Cc1ccc(-c2ccc(OC(F)(F)F)c(CN[C@H]3CCN(C(=O)CN4C(=O)CCCC4=O)C[C@H]3c3ccccc3)c2)c(F)c1
12041,CC(C)(C)OC(=O)N1[C@@H]2C[C@@H]2C[C@H]1C(=O)NC1CCCCC1
12042,COC(=O)Nc1ccc(CCOc2ccc(C=O)cc2)cc1
12043,COC(=O)C(Oc1ccc(C(C)(C)C)cc1Cl)c1ccc(Oc2ccc(Cl)cc2)cc1
12044,CCOC(=O)/C=C/CCCc1ccccc1
12045,COc1c(C(=O)NN2CCOCC2)nn(-c2ccccc2Cl)c1-c1ccc(Cl)cc1
12046,CCCn1c(=O)c2[nH]c(C34CCCC(CO)(CCC3)C4)nc2n(CCC)c1=O
12047,COC(=O)COc1cccnc1-c1ccsc1
12048,CC(C)(C)OC(=O)N1C[C@H](OS(C)(=O)=O)C[C@H]1CO
12049,O=[N+]([O-])c1ccc(C=C2CCNCC2)cc1
12050,CCOC(=O)n1nc(NC(=O)c2ccc(N3CCOCC3)cc2)c2cc(C(=O)OC(C)(C)C)sc21
12051,O=C(Cc1ccc(F)c(F)c1)NCC1CN(Cc2ccc(Cl)c(Cl)c2)CCO1
12052,O=C(Nc1cnc2[nH]cc(-c3ccoc3)c2c1)c1ccc(F)cc1
12053,CCOc1cc2c(cc1OC)-c1cc(=O)c(C(=O)O)cn1C(CC)C2
12054,O=C(c1ccc(-n2ccnc2)cc1)c1cc(Cl)ccc1Cl
12055,Cc1nc2cc(NC(=O)c3cc4cc(F)ncc4n3Cc3cccc(F)c3)ccc2s1
12056,CCOC(=O)COc1ccc2cc[nH]c2c1
12057,COc1ccc(F)cc1C(=O)c1cnc(NC2CCN(S(=O)(=O)CCCCl)CC2)nc1N
12058,CCOC(=O)[C@@]12C[C@H]1C=CCCCCC[C@H](NC(=O)OC1CCCC1)C(=O)N1C[C@H](Oc3cc(-c4csc(NC(C)C)n4)nc4cc(OC)ccc34)C[C@H]1C(=O)N2
12059,CC(=O)OCc1cc2c(c3c1CCC3)C(=O)c1ccccc1C2=O
12060,CC(C)(C)N1CCC[C@@H](Oc2cc(F)c(C(=O)NS(C)(=O)=O)cc2C2CC2)C1
12061,CC(C)(C)OC(=O)N1CCCC(CN(C(=O)c2ccco2)c2cccnc2)C1
12062,CN1CCN(c2ccc(CCNC(=O)c3ccc(-c4ccc(Cl)cc4)cc3[N+](=O)[O-])cn2)CC1
12063,CCC1(F)CN(C2CCCC2)c2nc(Cl)ncc2N(C)C1=O
12064,N=C(N)c1ccc2cc(OC(=O)c3ccc(CNC(=O)c4ccc(CC(=O)O)cc4)o3)ccc2c1
12065,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(CC2CCN(C#N)CC2)CCO1
12066,CCc1sc(C(=O)C(C)C)cc1C(Nc1ccc(C(=O)O)cc1)C1CCCCC1
12067,Oc1ccc(C2CCN(CCCCc3ccccc3)CC2)cc1
12068,COc1nc(C(=O)N2CCC(N3CCCC3)CC2)c(C)cc1-c1cccc(C(F)(F)F)c1
12069,COC(=O)/C=C/C(=O)N[C@@H](CS)C(=O)OC
12070,COC(=O)CCC(=O)c1ccc(SC)cc1
12071,CC1(C)CC(c2ccc(F)cc2)c2ccc(NS(C)(=O)=O)cc2O1
12072,Cc1cc(C)nc(N2CC3CN(C(=O)c4c(F)cccc4-c4nc(C)no4)CC3C2)n1
12073,O=C(c1ccccc1)N1CC(COc2cnc(-c3ccccc3)cn2)(C(=O)O)C1
12074,O=C(CSC12CC3CC(CC(C3)C1)C2)Nn1nc(C(F)(F)F)c2ccccc2c1=O
12075,COc1ccc(CNc2nnc(-c3ccc4c(c3)c(-c3cncc(-c5ccc(F)cc5)n3)cn4S(=O)(=O)c3ccc(C)cc3)o2)cc1
12076,COC(=O)[C@H](CC(C)C)NC(=O)C1CSC(c2cccnc2)N1C(=O)OC(C)(C)C
12077,CC(C)n1nc(CO)cc1OCc1ccc2ccccc2n1
12078,COC(=O)C(=O)N(C)Cc1ccncc1
12079,CC1CN(C(=O)OCc2ccccc2)C12CCCNC2
12080,CCCS(=O)(=O)[C@@]1(c2ccc(-c3ccccc3)cc2)C[C@H]2C(=O)N[C@]3(C(=O)NS(=O)(=O)C4CC4)C[C@H]3C=CCCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N2C1
12081,CN1CCC(C(=O)NC2CCN(Cc3ccc4ncn(-c5nc(-c6cccc(Cl)c6)c(C(N)=O)s5)c4c3)CC2)CC1
12082,O=C1c2ccccc2C(=O)N1CCN(CCO)CCO
12083,COC(=O)c1cccc(C=Cc2ccc(OCc3c(C(C)C)cnn3-c3ccccc3C(F)(F)F)cc2C)c1
12084,COc1ccc(CN(c2ccncn2)S(=O)(=O)c2c(F)cc(F)cc2F)c(OC)c1
12085,Cn1cnc2ccc(Oc3ccc(N)cc3)cc2c1=O
12086,COc1ccc(OC(CCCN2CC3CC(C2)CN(C(=O)OC(C)(C)C)C3)c2ccc(C#N)cc2)cc1OC
12087,Cc1cccc(C)c1NC(=O)Nc1cc2ccccc2cc1C(=O)N(CC(=O)OCc1ccccc1)CC1CCCCC1
12088,CN(Cc1cc(-c2ccsc2)n(S(=O)(=O)c2cccc(Cl)c2)c1)C(=O)OC(C)(C)C
12089,C=CCn1c(Sc2nc3c(N)ncnc3n2CCC=C(C)C)nc2ccccc21
12090,CC(C)CN(CC(C)C)C(=O)C(C)(C)c1ccc(N)c(NCCCN(C)C)c1
12091,Cc1nc(Cn2nnc3c(N4CCC(F)(F)C4)nc(C(C)(C)C)nc32)n(C)n1
12092,COc1cncc2nc(-c3ccnc(Nc4ccccc4)c3)nc(N3CC[C@H](O)[C@H](O)C3)c12
12093,Cn1c(C#N)ccc1-c1ccc(NS(C)(=O)=O)c(C#N)c1
12094,Cn1c(SCc2ccc(C(=O)c3ccc(Cl)cc3)cc2)nc2ccsc2c1=O
12095,Cc1ccc(C#N)cc1C(=O)c1ccc([N+](=O)[O-])cc1Cl
12096,CCCCN(CCCC)C(=O)c1cn(Cc2ccccc2)c(-c2ccc(C(=O)O)cc2C(=O)N2Cc3ccccc3C[C@H]2CO)n1
12097,CC(C)(C)OC(=O)N[C@H](CCCN1C(=O)c2ccccc2S1(=O)=O)C(=O)OC(C)(C)C
12098,COC(=O)CCCc1ccc(C(=O)C=Cc2ccccc2)cc1
12099,CC(C)[C@@H](C(=O)O)N1Cc2ccc(-c3ccc(NC(=O)Nc4ccc5c(c4)CCC5)c(F)c3)cc2C1=O
12100,CCOC(=O)c1cccn(Cc2ccccc2-c2cccc(C(C)C)c2)c1=O
12101,Cn1c(=O)c2c(nc(Cl)n2Cc2ccccc2)n(C)c1=O
12102,CCCCCC(O)c1ccc(Oc2ccc3ccccc3n2)cn1
12103,CS(=O)CCOc1cccc(CO)c1
12104,CCN(CCO)Cc1cc(Nc2nc(Nc3cc4c(cc3OC)CCN(CC(=O)N(C)C)CC4)ncc2Cl)ccc1F
12105,COc1ccc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2n1
12106,O=C(Nc1ccc(Br)c2ccccc12)c1cc(F)cc(N2CCOCC2)c1
12107,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(-c4ccc(N5CCC(OC(C)=O)CC5)cc4)n[nH]c3c1)C(=O)N2
12108,CSc1ccc(C(=O)C(C)(C)OC(=O)CCc2ccccc2)cc1
12109,NC(=O)[C@@H](N)CCCCNC(=O)CCC(=O)c1ccccc1
12110,Cc1nc(N)nc(N[C@@H](C)c2nc3ccn(C)c3cc2N2CC[C@H](N)C2)c1C#N
12111,COc1nc(F)ccc1F
12112,CCn1cc(-c2cnccn2)cc(Br)c1=O
12113,Cc1ccc2sc(-c3nn(COCC[Si](C)(C)C)cc3C(=O)NC(C)(C)CO)cc2c1
12114,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]ncc3c2)c1F
12115,COCCOCCOc1cc2nncc(Nc3cc(O)c(C)cc3F)c2cc1OC
12116,CCCC(=O)N1CCC(Nc2ncc(C(=O)c3ccccc3OC)c(N)n2)CC1
12117,NCc1ccc2c(c1)B(O)OC2
12118,CN1CCC(C2CCN(C(=O)c3ccc(-c4ccc5ncc(-c6ccc(C#N)cc6)n5c4)cc3)CC2)CC1
12119,Nc1nc(-c2ccc(NC(=O)Nc3ccccc3)cc2)cn2ccnc12
12120,COc1ccc2c(CCCCN)ccnc2c1
12121,COCCCc1cc(OC)c(C[C@@H](C)NC(=O)C(F)(F)F)cc1OC
12122,O=CCc1c[nH]c2ccccc12
12123,O=C1CCCN1CCc1ccc(Br)cc1
12124,CC(C)(C)C(OCc1ccccc1Cl)C(C=C1CCCCC1)n1cncn1
12125,COc1cc(Cl)ccc1NS(=O)(=O)c1cccs1
12126,O=C(Nc1nc2cccc(NC3CCCOC3)n2n1)c1ccccc1
12127,COc1cc(C(=O)NCCC2Cc3c(C)c(OCc4ccccc4)c(C)c(C)c3O2)cc(OC)c1OC
12128,C[C@@H]1CN(Cc2c(Cl)cccc2C(F)(F)F)C[C@]1(CC(=O)O)C(=O)NC1CCN(CC2=CCCCC2)CC1
12129,CN(C)C1CCN(c2nc(Br)cnc2N)CC1
12130,CC(=O)N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)CC1(c2ccccc2)CCC2(CC1)OCCO2
12131,NC1=N[C@@H](CNc2cccc(Cl)c2)CO1
12132,O=C(/C=C/CN1CCCCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CC2CCC(C1)O2
12133,COc1cccc(-c2ccc3c(ccn3Cc3ccc(C(C)(C)C)cc3)c2)c1
12134,CC(C)c1ccc(CO)cc1C#N
12135,c1ccc2c(c1)c1ccccc1n2-c1ccc2[nH]c3ccc(-n4c5ccccc5c5ccccc54)cc3c2c1
12136,CC[C@@H](c1ccccc1)N(Cc1ccc(CO)cn1)S(=O)(=O)c1ccc(Cl)cc1
12137,CCOC(=O)c1c(C)nc(SC)nc1Nc1cc(OC)cc(OC)c1
12138,CC(C)(C)C(O)C(CCCCOc1ccc(Cl)c(Cl)c1)n1cncn1
12139,COc1ccc2c(O)cc(-c3ccccc3)nc2c1
12140,COc1cc(-c2nc3ncccc3[nH]2)ccc1NS(C)(=O)=O
12141,COCC(=O)NCc1cccc(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1
12142,CC12CC(=NO)C(C)(C)C1C(O)C2
12143,CCCCC=Cc1cccc(C#N)c1
12144,NS(=O)(=O)OCC1C[C@@H](c2ccc3c(N[C@H]4CCc5ccccc54)ncnn23)C[C@@H]1OC(=O)c1ccccc1
12145,Cc1cc(F)cc(Cc2c(C#N)cc(O)c(O)c2C#N)c1
12146,Nc1cnc2ccccc2c1N[C@H](CO)COCc1ccccc1
12147,N#CCc1ccc(OC(F)(F)F)cc1
12148,COc1cc(CN[C@H](C)c2ccccc2)nn1-c1ccc(C(F)(F)F)cc1
12149,CC(C)(CC=O)C(=O)OCc1ccccc1
12150,Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Oc1ncccc1-c1ncnc2[nH]cnc12
12151,Cc1c(OC2CCN(C(=O)OC(C)(C)C)CC2)ncnc1N1Cc2cnn(C)c2C1
12152,C[C@@H](c1ccccc1)N1Cc2sc(N)c(C(=O)OC(C)(C)C)c2C[C@H]1CNCc1ccc(Oc2ccccc2)cc1
12153,O=C(NCc1c(F)cccc1F)c1cn2cc(Br)ccc2n1
12154,CCN1CCCC1CNC(=O)c1ccc(OC/C=C(\C)CCC=C(C)C)cc1
12155,Cc1c[nH]c(-c2nc([C@H]3CCCN(C(=O)c4cnoc4C)C3)no2)c1
12156,CC(OCc1ccc2ccccc2c1)(C(N)=O)C(F)(F)F
12157,CCCCCC(CCCCC)CCCCCCCCN(C)C
12158,N#C[C@@H](c1ccccc1-c1ccc(Cl)cc1)C1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@H](CCN4CCOCC4)CSc4ccccc4)c(S(=O)(=O)C(F)(F)F)c3)cc2)CC1
12159,CCCCCCCC(=O)CCCCCC/C=C/[C@H](C(=O)N[C@@H](Cc1ccc(-c2ccccc2F)cc1)C(=O)O)[C@@](O)(CCC)C(=O)O
12160,O=C(Nc1cccnc1)N1c2nc(N3CCOC[C@@H]3CO)ccc2N2CC[C@H]1C2
12161,O=C(O)c1ccc(CCc2ccccc2)cc1Nc1ccc2[nH]ncc2c1
12162,CC(C)(O)Cn1ccc(NC(=O)C(CC2CCCC2)n2ncc(Oc3ccccc3C(=O)N3CCCC3)cc2=O)n1
12163,CC(C)S(=O)(=O)c1ccccc1Nc1cc(Nc2ccc(P(C)(C)=O)cc2OC(F)(F)F)ncc1C(F)(F)F
12164,Cc1ccccc1-c1nc(CCc2cccc(C(=O)O)c2)c(C(=O)NC23CC4CC(CC(C4)C2)C3)[nH]1
12165,CNCCCn1c(C=Cc2ccsc2)cc2ccccc21
12166,O=C(O)c1ccc2c(c1)CCN(C(=O)OCc1ccccc1)C2
12167,COC(=O)c1cc2c(N)c(OC)ccc2n1C
12168,O=C(O)CC(NC(=O)Cc1ccccc1)c1cccc(Cl)c1
12169,C=CCC1C(=O)C=CC1(C)OC(C)=O
12170,CCC(NC(=O)c1ccccc1Cl)C(=O)O
12171,Nc1ccc(C2CCOCC2)cn1
12172,COC(=O)CC1CCC(c2ccc(-c3ccc(Nc4cnc(OC)c(F)c4)cn3)cc2)CC1
12173,CNCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21
12174,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)[C@@H]5O[C@@H]5[C@]4(C)[C@H]3CC[C@]12C
12175,CC1CN(c2nn(NC(=O)Cc3cc(F)cc(F)c3)c(=O)c3ccccc23)CC(C)O1
12176,CC1CCCCC1OC(=O)c1cc(NC(=O)c2ccccc2)ccc1Cl
12177,Cn1nc(N)c2cc(-c3ncccc3Cl)ccc21
12178,CNc1cccc(CCOc2ccc3c(CCC(=O)O)coc3c2)n1
12179,O=Cc1c(F)cccc1Br
12180,Cc1c(-c2ccc(N3CCOCC3)nc2)nc2cc(F)cc(F)c2c1Cl
12181,CC(C)(CO[Si](C)(C)C(C)(C)C)c1ccc(N)cc1
12182,Clc1ccc(Nc2nc(Cl)nc(Nc3ccccc3)n2)cc1
12183,CCCCCC=CC/C=C/CCCCCCCC(=O)Oc1ccc(-c2ccc(C=CC(=O)O)cc2)cc1C12CC3CC(CC(C3)C1)C2
12184,O=[N+]([O-])c1ccc2c(c1)CNC(CO)C2
12185,O=C(O)c1cn(-c2ccc(F)cc2F)c2nc(N3CCC(n4ccnn4)C3)c(F)cc2c1=O
12186,CC(C)(C)OC(=O)N1CCn2c(cc3ccccc32)C1
12187,Fc1ccc2[nH]cc(CC3CCN(CCOc4cccc5[nH]ccc45)CC3)c2c1
12188,Nc1ccc(NC(=O)c2ccc(F)cc2)cc1
12189,CC(C)(C)OC(=O)CN1CC(c2cccc3ccccc23)SCC(N2C(=O)c3ccccc3C2=O)C1=O
12190,c1ccc([C@@H]2C[C@H]2NCC2CCCNCC2)cc1
12191,COC(=O)c1cc(OCc2cccs2)ccc1[N+](=O)[O-]
12192,COc1ccc(Cn2cnc3c(-c4ccco4)nc(C(F)(F)F)nc32)cc1
12193,CN(Cc1ccc(-c2ccc(OCC#N)c(Br)c2)cc1)C(=O)c1cn(C)c2ccccc12
12194,c1ccc(COCCCOCCOC2CCCCO2)cc1
12195,COc1ccc(-c2ccc3nc(C)c(-c4ccc(-n5cccn5)cc4)n3n2)cc1OC
12196,C[C@H]1CN(C(=O)[C@@H](Cc2ccc(Cl)cc2)NC(=O)OC(C)(C)C)CCN1c1ncnc2c1[C@H](C)CC2
12197,CCCc1ncn(-c2ccc3c(c2)CC(C)(C)O3)c(=O)c1Cc1ccc(-c2ccccc2C#N)cc1
12198,CCOC(=O)CN(CCCc1ccc2cccnc2n1)C(=O)OC(C)(C)C
12199,Cn1c(=O)c2cccc(N)c2c(=O)c2ccccc21
12200,CC(C)CS(=O)(=O)N1CCN(c2cnc3ccc(-c4cncc(NS(=O)(=O)c5ccccc5)c4)cc3n2)CC1
12201,CN1CCN(c2cc(-c3ccc4c(c3)CN(C(=O)CC3CCC3)CC4)nc(N)n2)CC1
12202,COc1cc2ccccc2nc1-c1nc2ccccc2cc1OC
12203,CNC1=NC=NC2C1C(c1cccc(O)c1)=CN2CCC(=O)OC(C)(C)C
12204,O=C(O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1cc(Cl)ccc1-n1cncn1)C1CCCCC1
12205,C[C@@H](NC(=O)NCCCCC1CCSS1)C(=O)NS(N)(=O)=O
12206,CC(=O)C1(O)C=CC=CC1C(=O)OC1OC(=O)c2ccccc21
12207,O=C(c1ccc(F)cc1[N+](=O)[O-])N1CC1
12208,O=Cc1c[nH]c2ccc(Cl)cc12
12209,CC(C)C(CO)Nc1cc2c(=O)n(NS(C)(=O)=O)c(=O)[nH]c2cc1[N+](=O)[O-]
12210,BrCCOCCOCCOCCOCCOCc1ccccc1
12211,COCc1nc2ccccc2n1Cc1ccc2c(c1)COc1cc(F)ccc1/C2=C(\C)C#N
12212,CC(=O)C(=O)Oc1c(C)cc(Nc2ccn(-c3ccccc3)n2)cc1C
12213,CN(C[C@@H](N)C[C@@H]1CC[C@@H](F)CC1)C(=O)OCc1ccccc1
12214,CCOC(=O)c1cc(C#N)c(N2CCN(C(=O)Nc3c(OC)cccc3OC)CC2)nc1C(F)(F)F
12215,COc1ccc(CNc2cc(Cn3c(C(=O)c4cc(C)cc(C=CC#N)c4)c(C(C)C)c(=O)[nH]c3=O)cc(Cl)n2)cc1
12216,CC(=O)c1ccc2c(c1)NC(=O)CC2
12217,COc1cccc([C@H]2O[C@H](CCC(=O)N3CCC(CC(=O)O)CC3)c3ccc(C4=NNNN4C)n3-c3ccc(Cl)cc32)c1OC
12218,CC(C)NC(=O)Nc1sc2c(c1C(=O)N1CCC(N3CCCC4(CC(=O)N(C(C)C)C4=O)C3)CC1)CCCC2=O
12219,CC[C@@H](NC(=O)C(F)(F)F)c1ccccc1
12220,O=[N+]([O-])c1c(F)cc(C2CC2)cc1F
12221,CCOC(=O)C1Cc2cc(OC)ccc2N1C(=O)C(C)CSC(C)=O
12222,CCOC(=O)c1cc(-c2ncc(F)c3c(C(=O)C(=O)N4CCN(c5nnnn5-c5ccccc5)CC4)c[nH]c23)n[nH]1
12223,Oc1ccc2cc(COCC3CC3)ccc2c1
12224,CN(c1cc(I)ccc1OC1CCOCC1)c1nc(N)ncc1Cl
12225,O=C(c1ccccc1)C(OC(=O)[C@H]1C[C@@H](O)CN1C(=O)OCc1ccccc1)c1ccccc1
12226,Cc1c(/C=C2\C(=O)Nc3ccc(-c4ccccc4)cc32)[nH]c2c1C(=O)N(CCN1CCCC1)CCC2
12227,Cc1ccc2ncn(C)c2c1
12228,COCCOc1ccc2c(c1)CNC2
12229,COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)F)nc1
12230,CCOC(=O)[C@@H](C)Oc1cc(NS(=O)(=O)N2CCC2)nc(SCc2cccc(F)c2F)n1
12231,CC(C)(C)c1cc(NC(=O)OCC(Cl)(Cl)Cl)n(-c2cn(CCOC3CCCCO3)cn2)n1
12232,Nc1ncnc2c1c(-c1cccc(OCC34CCC(CC3)O4)c1)cn2C1CCN(C2COC2)CC1
12233,Cc1ccc(Oc2cccc(CN[C@H]3CCCc4ccccc43)c2)cc1
12234,CC(=O)NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2CCC4C)CC1
12235,NC(=O)c1ccc(Nc2nc(N[C@@H]3CC[C@@H](N)CC3)nc3[nH]cnc23)cc1
12236,COc1ccc(CNc2ncnc3ccc(-c4cccc(CNc5ncccc5C(=O)NCc5ccc(F)c(F)c5)c4)cc23)c(OC)c1
12237,CC(C)[C@@H](CO)NC(=O)C1(NC(=O)c2ccco2)CCCCC1
12238,CS(=O)(=O)Nc1c(F)cc(CNC(=O)C=Cc2ccc(C(F)(F)F)nc2Oc2ccccc2)cc1C#N
12239,CC(=O)Nc1ccc(S(=O)(=O)N2CCC(N(C(=O)Nc3ncc(Cl)s3)[C@@H]3CC[C@@H](C)CC3)CC2)cc1
12240,CCC(C)N(C)C(=O)c1cc2sccc2c(-c2ccccc2)n1
12241,CCN(CC)CCn1nc2c3c(c(N)ccc31)Sc1cc(O)ccc1-2
12242,C=Cc1nc(NC)sc1-c1ccncc1
12243,C=Cn1c(C)c(C)c2cnnc(OCc3ccccc3)c21
12244,COC(=O)c1ccc(F)c(NC(=O)c2cnc3cc(Br)ccn23)c1
12245,Cc1cc(Br)c(N(C(=O)C2CCN(C(=O)OC(C)(C)C)CC2)C(C)C)cc1C
12246,O=C(O)[C@H]1C[C@@H]1c1ccccc1
12247,CNC(=O)c1ccccc1Nc1cc(F)ncc1C
12248,Cc1cc(C)c(O)c(NC(=O)C(Cl)CC(C)C)c1
12249,Cc1cc(C)c(CNC(=O)c2cc(Cl)nc3c2c(C)nn3C2CC2)c(=O)[nH]1
12250,CCCCCCCCNC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1-c1c(Cl)cccc1Cl
12251,C[C@@H]1COCCN1C(=O)c1ccc(Cl)cc1NS(=O)(=O)c1cccc2nccnc12
12252,C[S@@](=O)(=NC(=O)c1cncc(C#Cc2cccc(C(=O)O)c2)c1)c1ccccc1
12253,COC(=O)c1cccc(N)c1N
12254,COc1ccc(-c2ncccc2[N+](=O)[O-])cc1
12255,Cc1cc2ccccc2nc1N(C)CCN(C)C
12256,O=C(O)c1cn2cc(-c3ccc(CO)o3)ccc2n1
12257,CS(=O)(=O)Nc1ccccc1CCN
12258,CCOCOc1cc(C(=O)c2ccc3cc(C(=O)OC)ccc3c2)cc2c1C(C)(C)CCC2(C)C
12259,CSc1ncccc1NC(=O)CCCCCSc1nc2ccccc2o1
12260,CC(C)(C)OC(=O)N1CCC(OC2CCN(c3ccc(C#N)cn3)CC2)CC1
12261,O=C(Nc1ccc(Oc2ccc3nc(NC(=O)C4CC4)cn3n2)cc1)c1cccc(C(F)(F)F)c1
12262,N#CC1(c2ccc(-c3cnc(N)cn3)cc2)CCOCC1
12263,OCC1(O)CC2COCC(C1)N2
12264,COc1cc(C#N)cc(CO)c1
12265,COc1ccc(Cc2cc(Sc3c(Cl)cc(N)cc3Cl)ccc2OC)cn1
12266,c1ccc(Cc2cnc(N3CCNCC3)nc2)cc1
12267,CCC(C)Oc1cc(Cl)ccc1CO
